Model,Archietecture ,fold,epoch,train_loss,val_loss,val_accuracy,val_f1,val_auc,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",1,1,0.694,0.6879,0.5392,0.6997,0.6191,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",1,2,0.689,0.682,0.5461,0.6974,0.6256,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",1,3,0.6811,0.6852,0.5392,0.6997,0.6268,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",1,4,0.67,0.6646,0.5922,0.6692,0.6246,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",1,5,0.6549,0.6706,0.5945,0.68,0.6295,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",1,6,0.6412,0.679,0.553,0.467,0.6366,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",1,7,0.6314,0.6654,0.6083,0.668,0.648,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",1,8,0.6071,0.6539,0.629,0.6316,0.6529,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",1,9,0.6011,0.6605,0.6244,0.6667,0.6559,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",1,10,0.6084,0.6496,0.6267,0.6368,0.6602,
